Time,ID,Event name,Description,Section
"3 March 2023, 1:14 PM",166543,Log report viewed,The user with id '166543' viewed the log report for the course with id '39000'.,
"3 March 2023, 1:14 PM",166543,Log report viewed,The user with id '166543' viewed the log report for the course with id '39000'.,
"3 March 2023, 1:14 PM",166543,Statistics report viewed,The user with id '166543' viewed the statistics report for the course with id '39000'.,
"3 March 2023, 1:13 PM",166543,Statistics report viewed,The user with id '166543' viewed the statistics report for the course with id '39000'.,
"3 March 2023, 1:13 PM",166543,Course viewed,The user with id '166543' viewed the section number '22' of the course with id '39000'.,22
"3 March 2023, 1:12 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"3 March 2023, 1:08 PM",170059,Course viewed,The user with id '170059' viewed the course with id '39000'.,
"3 March 2023, 9:32 AM",166543,Log report viewed,The user with id '166543' viewed the log report for the course with id '39000'.,
"3 March 2023, 9:07 AM",166543,Activity report viewed,The user with id '166543' viewed the outline activity report for the course with id '39000'.,
"3 March 2023, 9:07 AM",166543,Course viewed,The user with id '166543' viewed the section number '22' of the course with id '39000'.,22
"3 March 2023, 9:07 AM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"3 March 2023, 9:04 AM",168173,Course viewed,The user with id '168173' viewed the course with id '39000'.,
"3 March 2023, 12:29 AM",154307,Course viewed,The user with id '154307' viewed the section number '13' of the course with id '39000'.,13
"3 March 2023, 12:29 AM",154307,Course viewed,The user with id '154307' viewed the section number '13' of the course with id '39000'.,13
"3 March 2023, 12:29 AM",154307,Course viewed,The user with id '154307' viewed the course with id '39000'.,
"2 March 2023, 11:29 PM",154307,Course viewed,The user with id '154307' viewed the section number '13' of the course with id '39000'.,13
"2 March 2023, 11:29 PM",154307,Course viewed,The user with id '154307' viewed the section number '17' of the course with id '39000'.,17
"2 March 2023, 11:29 PM",154307,Course viewed,The user with id '154307' viewed the section number '35' of the course with id '39000'.,35
"2 March 2023, 11:28 PM",154307,Course viewed,The user with id '154307' viewed the course with id '39000'.,
"2 March 2023, 2:31 PM",168420,Course viewed,The user with id '168420' viewed the course with id '39000'.,
"1 March 2023, 1:31 PM",169419,Course viewed,The user with id '169419' viewed the course with id '39000'.,
"1 March 2023, 1:20 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"1 March 2023, 1:19 PM",166543,Activity report viewed,The user with id '166543' viewed the outline activity report for the course with id '39000'.,
"1 March 2023, 1:19 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"1 March 2023, 1:18 PM",166543,Course viewed,The user with id '166543' viewed the section number '22' of the course with id '39000'.,22
"1 March 2023, 1:18 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"1 March 2023, 10:34 AM",170375,Course viewed,The user with id '170375' viewed the section number '3' of the course with id '39000'.,3
"1 March 2023, 10:34 AM",170375,Course viewed,The user with id '170375' viewed the course with id '39000'.,
"1 March 2023, 9:39 AM",166543,Activity report viewed,The user with id '166543' viewed the outline activity report for the course with id '39000'.,
"1 March 2023, 9:38 AM",166543,Grader report viewed,The user with id '166543' viewed the grader report in the gradebook.,
"1 March 2023, 9:38 AM",166543,Grader report viewed,The user with id '166543' viewed the grader report in the gradebook.,
"1 March 2023, 9:37 AM",166543,Grader report viewed,The user with id '166543' viewed the grader report in the gradebook.,
"1 March 2023, 9:37 AM",166543,Grader report viewed,The user with id '166543' viewed the grader report in the gradebook.,
"1 March 2023, 9:36 AM",166543,User list viewed,The user with id '166543' viewed the list of users in the course with id '39000'.,
"1 March 2023, 9:35 AM",166543,Log report viewed,The user with id '166543' viewed the log report for the course with id '39000'.,
"1 March 2023, 9:34 AM",166543,Activity report viewed,The user with id '166543' viewed the outline activity report for the course with id '39000'.,
"1 March 2023, 9:33 AM",166543,Log report viewed,The user with id '166543' viewed the log report for the course with id '39000'.,
"1 March 2023, 9:32 AM",166543,Statistics report viewed,The user with id '166543' viewed the statistics report for the course with id '39000'.,
"1 March 2023, 9:32 AM",166543,Statistics report viewed,The user with id '166543' viewed the statistics report for the course with id '39000'.,
"1 March 2023, 9:32 AM",166543,Course viewed,The user with id '166543' viewed the section number '22' of the course with id '39000'.,22
"1 March 2023, 9:32 AM",166543,Course viewed,The user with id '166543' viewed the section number '24' of the course with id '39000'.,24
